"Data","Zamkniecie"
2018-01-02,52.8880729675293
2018-01-03,53.7561302185059
2018-01-04,53.9508018493652
2018-01-05,54.7369232177734
2018-01-08,54.9708213806152
2018-01-09,54.9370536804199
2018-01-10,54.755786895752
2018-01-11,54.9003067016602
2018-01-12,55.7316131591797
2018-01-16,55.7067832946777
2018-01-17,56.2143096923828
2018-01-18,56.1055526733398
2018-01-19,56.4889335632324
2018-01-22,57.3977127075195
2018-01-23,58.1008987426758
2018-01-24,57.8163528442383
2018-01-25,58.1207618713379
2018-01-26,58.3924026489258
2018-01-29,58.3794937133789
2018-01-30,57.7890357971191
2018-01-31,58.0994110107422
2018-02-01,57.9881706237793
2018-02-02,55.2171363830566
2018-02-05,52.4312019348145
2018-02-06,53.662769317627
2018-02-07,52.0726509094238
2018-02-08,49.7356452941895
2018-02-09,51.5363235473633
2018-02-12,52.2395133972168
2018-02-13,52.2474555969238
2018-02-14,53.1214752197266
2018-02-15,54.1057434082031
2018-02-16,54.3679466247559
2018-02-20,54.7483444213867
2018-02-21,55.1893272399902
2018-02-22,54.9554214477539
2018-02-23,55.9565773010254
2018-02-26,56.7988090515137
2018-02-27,55.5344657897949
2018-02-28,54.8610725402832
2018-03-01,53.1125373840332
2018-03-02,53.5793418884277
2018-03-05,54.1757659912109
2018-03-06,54.3808555603027
2018-03-07,55.1049003601074
2018-03-08,55.9173355102539
2018-03-09,57.6077728271484
2018-03-12,57.8292617797852
2018-03-13,56.5217056274414
2018-03-14,57.0838584899902
2018-03-15,57.0883331298828
2018-03-16,56.4005317687988
2018-03-19,54.6172370910645
2018-03-20,54.5124664306641
2018-03-21,54.1732749938965
2018-03-22,52.097484588623
2018-03-23,50.7313346862793
2018-03-26,52.3025779724121
2018-03-27,49.9134292602539
2018-03-28,49.8866119384766
2018-03-29,51.2388572692871
2018-04-02,49.9814643859863
2018-04-03,50.3261070251465
2018-04-04,50.9086227416992
2018-04-05,51.0412101745605
2018-04-06,50.0097694396973
2018-04-09,50.4274139404297
2018-04-10,51.2314071655273
2018-04-11,50.6518745422363
2018-04-12,51.2746086120605
2018-04-13,51.113712310791
2018-04-16,51.5462493896484
2018-04-17,53.3429641723633
2018-04-18,53.2396659851074
2018-04-19,54.0153617858887
2018-04-20,53.2833671569824
2018-04-23,53.0097465515137
2018-04-24,50.6523704528809
2018-04-25,50.7119598388672
2018-04-26,51.6485557556152
2018-04-27,51.1524505615234
2018-04-30,50.5207748413086
2018-05-01,51.5129852294922
2018-05-02,50.8708801269531
2018-05-03,50.8381080627441
2018-05-04,52.0542793273926
2018-05-07,52.3810424804688
2018-05-08,52.3373413085938
2018-05-09,53.7700386047363
2018-05-10,54.5055084228516
2018-05-11,54.5397682189941
2018-05-14,54.6361122131348
2018-05-15,53.5947303771973
2018-05-16,53.7208786010742
2018-05-17,53.5629577636719
2018-05-18,52.9556121826172
2018-05-21,53.612117767334
2018-05-22,53.1229667663574
2018-05-23,53.6175804138184
2018-05-24,53.5952301025391
2018-05-25,53.4174499511719
2018-05-29,52.6556625366211
2018-05-30,53.0271224975586
2018-05-31,53.8807830810547
2018-06-01,55.594554901123
2018-06-04,56.5773277282715
2018-06-05,56.595703125
2018-06-06,56.4576454162598
